,Indice,Cluster
0,97,1
1,23,1
2,87,1
3,26,1
4,92,1
5,79,1
6,33,1
7,22,0
8,21,0
9,37,2
10,18,2
11,83,2
12,93,2
13,15,2
14,65,2
15,60,3
16,30,3
17,19,3
18,96,3
19,68,3
20,38,3
21,40,3
22,32,0
23,20,4
24,24,4
25,61,4
26,63,4
27,1,4
28,34,4
29,72,4
30,13,4
31,49,4
32,86,4
33,88,4
34,56,4
35,27,4
36,90,0
37,69,0
38,85,0
39,71,0
40,5,0
41,10,0
42,82,0
43,99,0
44,4,0
45,59,0
46,91,0
47,62,0
48,84,0
49,9,0
50,45,0
51,17,0
52,95,0
53,98,0
54,46,0
55,52,0
56,66,0
57,69,0
58,85,0
59,16,5
60,51,5
61,89,5
62,42,5
63,44,5
64,3,5
65,41,5
66,14,5
67,77,0
68,81,0
69,57,0
70,31,0
71,54,0
72,11,0
73,50,6
74,8,6
75,74,6
76,78,0
77,29,0
78,7,0
79,55,0
80,73,0
81,67,0
82,47,0
83,39,0
84,43,0
85,35,0
86,6,0
87,25,0
88,58,0
89,64,0
90,28,0
91,84,0
92,76,0
93,45,0
94,2,0
95,70,0
96,80,0
97,53,0
98,75,0
99,94,0
100,64,0
101,36,0
102,48,0
103,12,0
104,82,0
105,0,0
