Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,11,0.15,0.15,0.5010803962416518
100% Corpus,11,0.15,0.2,0.49478435374340796
100% Corpus,11,0.15,0.5,0.5368889192053303
100% Corpus,11,0.15,0.7,0.5050706604426162
100% Corpus,11,0.15,0.9,0.5099576267238396
100% Corpus,11,0.15,1.5,0.4774868089124081
100% Corpus,11,0.15,auto,0.5033753048633192
100% Corpus,11,0.2,0.15,0.5127119795637161
100% Corpus,11,0.2,0.2,0.48740744671817865
100% Corpus,11,0.2,0.5,0.5144747979918946
100% Corpus,11,0.2,0.7,0.486542078876929
100% Corpus,11,0.2,0.9,0.459323275585818
100% Corpus,11,0.2,1.5,0.42049705089252404
100% Corpus,11,0.2,auto,0.5403492749329192
100% Corpus,11,0.5,0.15,0.5788352464562575
100% Corpus,11,0.5,0.2,0.5251212025677164
100% Corpus,11,0.5,0.5,0.5158541540752416
100% Corpus,11,0.5,0.7,0.49347851796117603
100% Corpus,11,0.5,0.9,0.5141877850843802
100% Corpus,11,0.5,1.5,0.504352985788013
100% Corpus,11,0.5,auto,0.57743456600127
100% Corpus,11,0.6,0.15,0.5529522115136335
100% Corpus,11,0.6,0.2,0.5735135660599858
100% Corpus,11,0.6,0.5,0.5100656142332892
100% Corpus,11,0.6,0.7,0.5080742101542953
100% Corpus,11,0.6,0.9,0.4916431965446973
100% Corpus,11,0.6,1.5,0.4724335828464776
100% Corpus,11,0.6,auto,0.5450235928684439
100% Corpus,11,0.7,0.15,0.5626819186924653
100% Corpus,11,0.7,0.2,0.5609078642640182
100% Corpus,11,0.7,0.5,0.5629144250204683
100% Corpus,11,0.7,0.7,0.4983987377206217
100% Corpus,11,0.7,0.9,0.5240039047326185
100% Corpus,11,0.7,1.5,0.5202687541265308
100% Corpus,11,0.7,auto,0.550758182133114
100% Corpus,11,0.9,0.15,0.5732519383936793
100% Corpus,11,0.9,0.2,0.5958197732920355
100% Corpus,11,0.9,0.5,0.5512994993131325
100% Corpus,11,0.9,0.7,0.5194944628612137
100% Corpus,11,0.9,0.9,0.5296186989399649
100% Corpus,11,0.9,1.5,0.5602655785749561
100% Corpus,11,0.9,auto,0.5647750604013464
100% Corpus,11,1.5,0.15,0.6029577883498829
100% Corpus,11,1.5,0.2,0.6052738921018173
100% Corpus,11,1.5,0.5,0.5849945079159883
100% Corpus,11,1.5,0.7,0.5385411830364896
100% Corpus,11,1.5,0.9,0.5399893181280815
100% Corpus,11,1.5,1.5,0.5169522755144453
100% Corpus,11,1.5,auto,0.5902740647283109
100% Corpus,11,1.75,0.15,0.6034159603467061
100% Corpus,11,1.75,0.2,0.5912218626682068
100% Corpus,11,1.75,0.5,0.5935062838160521
100% Corpus,11,1.75,0.7,0.5676191176579187
100% Corpus,11,1.75,0.9,0.5234795695263262
100% Corpus,11,1.75,1.5,0.5402718774718438
100% Corpus,11,1.75,auto,0.5818512757415628
100% Corpus,11,auto,0.15,0.4759256001647373
100% Corpus,11,auto,0.2,0.49067046374982043
100% Corpus,11,auto,0.5,0.5077888364342267
100% Corpus,11,auto,0.7,0.5103593722385947
100% Corpus,11,auto,0.9,0.46530221145173073
100% Corpus,11,auto,1.5,0.4383169932070299
100% Corpus,11,auto,auto,0.46791700731011154
100% Corpus,13,0.15,0.15,0.4693091182696599
100% Corpus,13,0.15,0.2,0.46507013031135824
100% Corpus,13,0.15,0.5,0.47502837916230306
100% Corpus,13,0.15,0.7,0.46030155608844664
100% Corpus,13,0.15,0.9,0.48518618411170095
100% Corpus,13,0.15,1.5,0.446223868484282
100% Corpus,13,0.15,auto,0.46997238856889506
100% Corpus,13,0.2,0.15,0.44623096975249177
100% Corpus,13,0.2,0.2,0.4622608471747864
100% Corpus,13,0.2,0.5,0.44330337068925396
100% Corpus,13,0.2,0.7,0.4658859275638005
100% Corpus,13,0.2,0.9,0.47732466741131074
100% Corpus,13,0.2,1.5,0.4427046134659811
100% Corpus,13,0.2,auto,0.4799338823980951
100% Corpus,13,0.5,0.15,0.5523636985916054
100% Corpus,13,0.5,0.2,0.5117565419322465
100% Corpus,13,0.5,0.5,0.5028913592666452
100% Corpus,13,0.5,0.7,0.5002289719104291
100% Corpus,13,0.5,0.9,0.50849733522113
100% Corpus,13,0.5,1.5,0.5922771086870343
100% Corpus,13,0.5,auto,0.5448698771616615
100% Corpus,13,0.6,0.15,0.5397522211661012
100% Corpus,13,0.6,0.2,0.5342961031752769
100% Corpus,13,0.6,0.5,0.5203219451062712
100% Corpus,13,0.6,0.7,0.526045856380257
100% Corpus,13,0.6,0.9,0.5283888844763333
100% Corpus,13,0.6,1.5,0.5161817609185643
100% Corpus,13,0.6,auto,0.5290485935741361
100% Corpus,13,0.7,0.15,0.5652699475485992
100% Corpus,13,0.7,0.2,0.5584252140191771
100% Corpus,13,0.7,0.5,0.516505016135615
100% Corpus,13,0.7,0.7,0.5177779657122529
100% Corpus,13,0.7,0.9,0.5549935010138914
100% Corpus,13,0.7,1.5,0.6200215448670152
100% Corpus,13,0.7,auto,0.5623041764129495
100% Corpus,13,0.9,0.15,0.5870772103368551
100% Corpus,13,0.9,0.2,0.5722611809172135
100% Corpus,13,0.9,0.5,0.5467165835036772
100% Corpus,13,0.9,0.7,0.5624004929600634
100% Corpus,13,0.9,0.9,0.5388751544261721
100% Corpus,13,0.9,1.5,0.6100685685414606
100% Corpus,13,0.9,auto,0.567244989071969
100% Corpus,13,1.5,0.15,0.5906017104938466
100% Corpus,13,1.5,0.2,0.6044000200267615
100% Corpus,13,1.5,0.5,0.5601507798168381
100% Corpus,13,1.5,0.7,0.49173753252516594
100% Corpus,13,1.5,0.9,0.5301987996166088
100% Corpus,13,1.5,1.5,0.4918007392224218
100% Corpus,13,1.5,auto,0.5846051842323358
100% Corpus,13,1.75,0.15,0.5849961738612962
100% Corpus,13,1.75,0.2,0.5887956144882673
100% Corpus,13,1.75,0.5,0.5692225019986141
100% Corpus,13,1.75,0.7,0.5311906995029614
100% Corpus,13,1.75,0.9,0.49996050622873434
100% Corpus,13,1.75,1.5,0.46986751117520364
100% Corpus,13,1.75,auto,0.5712517133974637
100% Corpus,13,auto,0.15,0.4636989446076599
100% Corpus,13,auto,0.2,0.463873806397672
100% Corpus,13,auto,0.5,0.46588614577499643
100% Corpus,13,auto,0.7,0.46886788721474154
100% Corpus,13,auto,0.9,0.4530108409522712
100% Corpus,13,auto,1.5,0.4444810207469286
100% Corpus,13,auto,auto,0.4561019302762534
100% Corpus,15,0.15,0.15,0.4451412520752518
100% Corpus,15,0.15,0.2,0.4338560803935379
100% Corpus,15,0.15,0.5,0.49088794608941566
100% Corpus,15,0.15,0.7,0.4664008140716171
100% Corpus,15,0.15,0.9,0.5252990568396846
100% Corpus,15,0.15,1.5,0.5308441646958725
100% Corpus,15,0.15,auto,0.45282514145596126
100% Corpus,15,0.2,0.15,0.4664258367399516
100% Corpus,15,0.2,0.2,0.4353352098076985
100% Corpus,15,0.2,0.5,0.46761701379103404
100% Corpus,15,0.2,0.7,0.4510470650343182
100% Corpus,15,0.2,0.9,0.452135632532431
100% Corpus,15,0.2,1.5,0.5006823350445531
100% Corpus,15,0.2,auto,0.4492067739388259
100% Corpus,15,0.5,0.15,0.5211983304124098
100% Corpus,15,0.5,0.2,0.5098807519097857
100% Corpus,15,0.5,0.5,0.49157573191972076
100% Corpus,15,0.5,0.7,0.5155406240994347
100% Corpus,15,0.5,0.9,0.4696763827697635
100% Corpus,15,0.5,1.5,0.5022373927352032
100% Corpus,15,0.5,auto,0.5343826436248865
100% Corpus,15,0.6,0.15,0.548362077845574
100% Corpus,15,0.6,0.2,0.5374484921726349
100% Corpus,15,0.6,0.5,0.5057811379109733
100% Corpus,15,0.6,0.7,0.4897446256039955
100% Corpus,15,0.6,0.9,0.5000507095054751
100% Corpus,15,0.6,1.5,0.6088170862026705
100% Corpus,15,0.6,auto,0.5169486751128001
100% Corpus,15,0.7,0.15,0.552132662798503
100% Corpus,15,0.7,0.2,0.5496158668378454
100% Corpus,15,0.7,0.5,0.5465078628580311
100% Corpus,15,0.7,0.7,0.5134187093412645
100% Corpus,15,0.7,0.9,0.5179886905810153
100% Corpus,15,0.7,1.5,0.6337999891872497
100% Corpus,15,0.7,auto,0.5395947485400004
100% Corpus,15,0.9,0.15,0.5616615709016415
100% Corpus,15,0.9,0.2,0.5588916948970654
100% Corpus,15,0.9,0.5,0.5296335490876614
100% Corpus,15,0.9,0.7,0.5274991824094367
100% Corpus,15,0.9,0.9,0.5674007076823017
100% Corpus,15,0.9,1.5,0.5400365458874948
100% Corpus,15,0.9,auto,0.5586213179268387
100% Corpus,15,1.5,0.15,0.5695941255601458
100% Corpus,15,1.5,0.2,0.5591555404980192
100% Corpus,15,1.5,0.5,0.5275094835396626
100% Corpus,15,1.5,0.7,0.4900496027236216
100% Corpus,15,1.5,0.9,0.550648771238602
100% Corpus,15,1.5,1.5,0.551391759474297
100% Corpus,15,1.5,auto,0.5544027329703222
100% Corpus,15,1.75,0.15,0.5748199144808441
100% Corpus,15,1.75,0.2,0.5588804183986247
100% Corpus,15,1.75,0.5,0.5454992849954229
100% Corpus,15,1.75,0.7,0.5015558628507365
100% Corpus,15,1.75,0.9,0.5042419940784288
100% Corpus,15,1.75,1.5,0.4683208080330703
100% Corpus,15,1.75,auto,0.5614038794098122
100% Corpus,15,auto,0.15,0.4592558739099825
100% Corpus,15,auto,0.2,0.42584133399434915
100% Corpus,15,auto,0.5,0.4610163752222941
100% Corpus,15,auto,0.7,0.45591219050409904
100% Corpus,15,auto,0.9,0.4518616395907748
100% Corpus,15,auto,1.5,
100% Corpus,15,auto,auto,0.46290605748779373
