Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,10,0.15,0.15,0.5306021986982212
100% Corpus,10,0.15,0.2,0.5357515349974761
100% Corpus,10,0.15,0.5,0.522820160712116
100% Corpus,10,0.15,0.7,0.4878313641847739
100% Corpus,10,0.15,0.9,0.4699402254824875
100% Corpus,10,0.15,1.5,0.47563953859989017
100% Corpus,10,0.15,auto,0.5330493222862461
100% Corpus,10,0.2,0.15,0.5130885553523702
100% Corpus,10,0.2,0.2,0.5006321883052588
100% Corpus,10,0.2,0.5,0.5044711927216723
100% Corpus,10,0.2,0.7,0.49284853764632075
100% Corpus,10,0.2,0.9,0.46344713144259925
100% Corpus,10,0.2,1.5,0.44635963145426566
100% Corpus,10,0.2,auto,0.5482554768073766
100% Corpus,10,0.5,0.15,0.5855359193181787
100% Corpus,10,0.5,0.2,0.5658582025538281
100% Corpus,10,0.5,0.5,0.5427387103090121
100% Corpus,10,0.5,0.7,0.5182762856844109
100% Corpus,10,0.5,0.9,0.5006060192665408
100% Corpus,10,0.5,1.5,0.4626221308210309
100% Corpus,10,0.5,auto,0.5784017943847319
100% Corpus,10,0.6,0.15,0.5687579487575302
100% Corpus,10,0.6,0.2,0.5698760641372831
100% Corpus,10,0.6,0.5,0.5627223614466452
100% Corpus,10,0.6,0.7,0.5395272638872448
100% Corpus,10,0.6,0.9,0.49870645725612633
100% Corpus,10,0.6,1.5,0.4920117828174906
100% Corpus,10,0.6,auto,0.5451413738169357
100% Corpus,10,0.7,0.15,0.5727949521496936
100% Corpus,10,0.7,0.2,0.5762856486817983
100% Corpus,10,0.7,0.5,0.555847454661491
100% Corpus,10,0.7,0.7,0.5488031346587953
100% Corpus,10,0.7,0.9,0.5219999919332262
100% Corpus,10,0.7,1.5,0.5855867253469672
100% Corpus,10,0.7,auto,0.5746890561044533
100% Corpus,10,0.9,0.15,0.5760691318200852
100% Corpus,10,0.9,0.2,0.5963145688500346
100% Corpus,10,0.9,0.5,0.5690086203597229
100% Corpus,10,0.9,0.7,0.565956952339479
100% Corpus,10,0.9,0.9,0.5510942828408322
100% Corpus,10,0.9,1.5,0.5902194804966482
100% Corpus,10,0.9,auto,0.5835849562411375
100% Corpus,10,1.5,0.15,0.6032334020333978
100% Corpus,10,1.5,0.2,0.6064540455063516
100% Corpus,10,1.5,0.5,0.6031035668574141
100% Corpus,10,1.5,0.7,0.5939302379880635
100% Corpus,10,1.5,0.9,0.5503431007171382
100% Corpus,10,1.5,1.5,0.5340229231918764
100% Corpus,10,1.5,auto,0.5810983720651965
100% Corpus,10,1.75,0.15,0.5907757409369723
100% Corpus,10,1.75,0.2,0.6074380234852417
100% Corpus,10,1.75,0.5,0.5984146332106136
100% Corpus,10,1.75,0.7,0.5918133917444212
100% Corpus,10,1.75,0.9,0.5863807924773534
100% Corpus,10,1.75,1.5,0.5127814556308173
100% Corpus,10,1.75,auto,0.5891775465211386
100% Corpus,10,auto,0.15,0.5353665858723466
100% Corpus,10,auto,0.2,0.5387207182480028
100% Corpus,10,auto,0.5,0.5067413956692692
100% Corpus,10,auto,0.7,0.5043452044028564
100% Corpus,10,auto,0.9,0.4518899443371341
100% Corpus,10,auto,1.5,0.4075593500622941
100% Corpus,10,auto,auto,0.5181633894150055
100% Corpus,12,0.15,0.15,0.4748029153182038
100% Corpus,12,0.15,0.2,0.4865889897627113
100% Corpus,12,0.15,0.5,0.5286728701475651
100% Corpus,12,0.15,0.7,0.46513512963756515
100% Corpus,12,0.15,0.9,0.49332250720387
100% Corpus,12,0.15,1.5,0.4828736374160419
100% Corpus,12,0.15,auto,0.459624587822441
100% Corpus,12,0.2,0.15,0.5101219980203959
100% Corpus,12,0.2,0.2,0.5069157633035964
100% Corpus,12,0.2,0.5,0.5180988053842538
100% Corpus,12,0.2,0.7,0.45383120662518794
100% Corpus,12,0.2,0.9,0.47778238313788707
100% Corpus,12,0.2,1.5,0.5101620336507039
100% Corpus,12,0.2,auto,0.507519890843188
100% Corpus,12,0.5,0.15,0.5646100349794856
100% Corpus,12,0.5,0.2,0.5257283296002053
100% Corpus,12,0.5,0.5,0.5187201911425234
100% Corpus,12,0.5,0.7,0.5009500472186952
100% Corpus,12,0.5,0.9,0.5210453740910752
100% Corpus,12,0.5,1.5,0.48370973326788663
100% Corpus,12,0.5,auto,0.538317979566714
100% Corpus,12,0.6,0.15,0.525328710299739
100% Corpus,12,0.6,0.2,0.5274927512925813
100% Corpus,12,0.6,0.5,0.5135774745500689
100% Corpus,12,0.6,0.7,0.5218316368838952
100% Corpus,12,0.6,0.9,0.5305623095067028
100% Corpus,12,0.6,1.5,0.50014584319887
100% Corpus,12,0.6,auto,0.5426845543432145
100% Corpus,12,0.7,0.15,0.5463983499749324
100% Corpus,12,0.7,0.2,0.56578555130006
100% Corpus,12,0.7,0.5,0.5511519280474004
100% Corpus,12,0.7,0.7,0.49974004888654017
100% Corpus,12,0.7,0.9,0.5155372397636558
100% Corpus,12,0.7,1.5,0.5694723416490349
100% Corpus,12,0.7,auto,0.5498845198850282
100% Corpus,12,0.9,0.15,0.5758891666319658
100% Corpus,12,0.9,0.2,0.5812479998516156
100% Corpus,12,0.9,0.5,0.5510301280901925
100% Corpus,12,0.9,0.7,0.5649969361124474
100% Corpus,12,0.9,0.9,0.5384138247899034
100% Corpus,12,0.9,1.5,0.6035233117197746
100% Corpus,12,0.9,auto,0.5882358321717769
100% Corpus,12,1.5,0.15,0.5978888818789149
100% Corpus,12,1.5,0.2,0.6094894645261372
100% Corpus,12,1.5,0.5,0.5694652770236983
100% Corpus,12,1.5,0.7,0.5108496780204471
100% Corpus,12,1.5,0.9,0.5371637164864301
100% Corpus,12,1.5,1.5,0.5115405650035807
100% Corpus,12,1.5,auto,0.5909453559525476
100% Corpus,12,1.75,0.15,0.5964931994620822
100% Corpus,12,1.75,0.2,0.5933101618607953
100% Corpus,12,1.75,0.5,0.5758491667973191
100% Corpus,12,1.75,0.7,0.5514887693194755
100% Corpus,12,1.75,0.9,0.5191338042184624
100% Corpus,12,1.75,1.5,0.5013085360024684
100% Corpus,12,1.75,auto,0.5881789273112953
100% Corpus,12,auto,0.15,0.5170576637982578
100% Corpus,12,auto,0.2,0.5145734943572299
100% Corpus,12,auto,0.5,0.4816766472439122
100% Corpus,12,auto,0.7,0.4802863497964198
100% Corpus,12,auto,0.9,0.48927517447925156
100% Corpus,12,auto,1.5,0.43119008317565205
100% Corpus,12,auto,auto,0.4397830950110005
100% Corpus,14,0.15,0.15,0.4767234669219831
100% Corpus,14,0.15,0.2,0.4946950284008613
100% Corpus,14,0.15,0.5,0.49773041673387936
100% Corpus,14,0.15,0.7,0.4882195166998941
100% Corpus,14,0.15,0.9,0.4796447141573242
100% Corpus,14,0.15,1.5,0.49694934142268504
100% Corpus,14,0.15,auto,0.48837422212389076
100% Corpus,14,0.2,0.15,0.4903499993558735
100% Corpus,14,0.2,0.2,0.4911400514073496
100% Corpus,14,0.2,0.5,0.5257561859516441
100% Corpus,14,0.2,0.7,0.4519072754283216
100% Corpus,14,0.2,0.9,0.47331914327733954
100% Corpus,14,0.2,1.5,0.5100334264456713
100% Corpus,14,0.2,auto,0.5039576228793188
100% Corpus,14,0.5,0.15,0.5267356664830724
100% Corpus,14,0.5,0.2,0.5213992725103037
100% Corpus,14,0.5,0.5,0.5164652846882458
100% Corpus,14,0.5,0.7,0.46164686197153754
100% Corpus,14,0.5,0.9,0.5117656804252116
100% Corpus,14,0.5,1.5,0.4978868242245178
100% Corpus,14,0.5,auto,0.5219634813470979
100% Corpus,14,0.6,0.15,0.5569928633884411
100% Corpus,14,0.6,0.2,0.5568027104250223
100% Corpus,14,0.6,0.5,0.523639623696952
100% Corpus,14,0.6,0.7,0.5088152652633366
100% Corpus,14,0.6,0.9,0.5017950674111751
100% Corpus,14,0.6,1.5,0.6077180670923352
100% Corpus,14,0.6,auto,0.5488703285825766
100% Corpus,14,0.7,0.15,0.5447358425375203
100% Corpus,14,0.7,0.2,0.558784333068092
100% Corpus,14,0.7,0.5,0.5121959520024786
100% Corpus,14,0.7,0.7,0.5253277033414893
100% Corpus,14,0.7,0.9,0.4930217124551866
100% Corpus,14,0.7,1.5,0.6387247801536086
100% Corpus,14,0.7,auto,0.569414863333731
100% Corpus,14,0.9,0.15,0.5696577092832577
100% Corpus,14,0.9,0.2,0.5754882646054981
100% Corpus,14,0.9,0.5,0.5608080591585545
100% Corpus,14,0.9,0.7,0.5454797028884502
100% Corpus,14,0.9,0.9,0.5386426983744824
100% Corpus,14,0.9,1.5,0.6021749663119081
100% Corpus,14,0.9,auto,0.5926482586186147
100% Corpus,14,1.5,0.15,0.5830401188846944
100% Corpus,14,1.5,0.2,0.5863972710600078
100% Corpus,14,1.5,0.5,0.546047011432469
100% Corpus,14,1.5,0.7,0.4834809588789718
100% Corpus,14,1.5,0.9,0.5267806140367035
100% Corpus,14,1.5,1.5,0.48422032875683474
100% Corpus,14,1.5,auto,0.5697458697112855
100% Corpus,14,1.75,0.15,0.5721568176219672
100% Corpus,14,1.75,0.2,0.5806118776800877
100% Corpus,14,1.75,0.5,0.5515906381871337
100% Corpus,14,1.75,0.7,0.5175368544537963
100% Corpus,14,1.75,0.9,0.4937441759711073
