Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,10,1.5,0.15,0.6032334020333978
100% Corpus,10,1.5,0.2,0.6064540455063516
100% Corpus,10,1.5,0.5,0.6031035668574141
100% Corpus,10,1.75,0.2,0.6074380234852417
100% Corpus,10,2.0,0.5,0.612486259903428
100% Corpus,12,0.7,2.0,0.6139682100884235
100% Corpus,12,0.9,1.5,0.6035233117197746
100% Corpus,12,1.5,0.2,0.6094894645261372
100% Corpus,14,0.6,1.5,0.6077180670923352
100% Corpus,14,0.7,1.5,0.6387247801536086
100% Corpus,14,0.7,2.0,0.6066745169499697
100% Corpus,14,0.9,1.5,0.6021749663119081
100% Corpus,16,0.6,1.5,0.6144044935325856
100% Corpus,16,0.7,1.5,0.6067343259689679
100% Corpus,18,0.6,1.5,0.6383981773977647
100% Corpus,18,0.6,2.0,0.6058313890228086
100% Corpus,18,0.7,0.9,0.6111348722088513
100% Corpus,18,0.7,1.5,0.6566277301473811
100% Corpus,18,0.9,0.9,0.6132041090877031
100% Corpus,20,0.6,1.5,0.6623742281388074
100% Corpus,20,0.7,0.9,0.618639539369401
100% Corpus,20,0.9,0.7,0.6062358114678069
100% Corpus,20,0.9,0.9,0.6461183654588929
100% Corpus,22,0.6,1.5,0.6703317552577861
100% Corpus,22,0.7,0.7,0.6071828656184212
100% Corpus,22,0.7,0.9,0.6019419172922535
100% Corpus,22,0.9,0.7,0.6273225565130288
100% Corpus,22,0.9,0.9,0.6310602659843045
100% Corpus,24,0.5,1.5,0.6538321248311599
100% Corpus,24,0.6,0.9,0.6186852280651227
100% Corpus,24,0.6,1.5,0.608345572558565
100% Corpus,24,0.7,0.7,0.6455469758296376
100% Corpus,24,0.7,0.9,0.6370799554946508
100% Corpus,24,0.9,0.5,0.6030572860952939
100% Corpus,24,0.9,0.7,0.6402852207149697
100% Corpus,24,0.9,0.9,0.6362483257942263
100% Corpus,26,0.15,2.0,0.6066036960487338
100% Corpus,26,0.2,0.9,0.6023085630360687
100% Corpus,26,0.5,1.5,0.654015863165752
100% Corpus,26,0.6,0.9,0.6345809136589795
100% Corpus,26,0.6,1.5,0.6019858279132211
100% Corpus,26,0.7,0.7,0.6126384108348075
100% Corpus,26,0.7,0.9,0.6639605624819533
100% Corpus,26,0.9,0.5,0.6188929843780611
100% Corpus,26,0.9,0.7,0.635627370324761
100% Corpus,28,0.15,2.0,0.6028718874411706
100% Corpus,28,0.2,0.9,0.6024810879010989
100% Corpus,28,0.5,1.5,0.6662057554400055
100% Corpus,28,0.6,0.7,0.6347050555053743
100% Corpus,28,0.6,0.9,0.6750859419510125
100% Corpus,28,0.6,1.5,0.6111007566195141
100% Corpus,28,0.7,0.7,0.6406665682076463
100% Corpus,28,0.7,0.9,0.6415273825194214
100% Corpus,28,0.9,0.5,0.6266690664169973
100% Corpus,28,0.9,0.7,0.6324728464699075
